element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS,UTS
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,-0.8679298758506775,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0507597923278809,0.5226442217826843,1.0596116781234741
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,-0.22153080999851227,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2439740896224976,0.3118848502635956,1.2015068531036377
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,0.10166872292757034,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2609179019927979,0.3128231167793274,1.1975070238113403
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,0.42486825585365295,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3548294305801392,0.2887524664402008,1.2140729427337646
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,0.7480677962303162,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3946210145950317,0.346030056476593,1.2483664751052856
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,1.0712673664093018,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4078983068466187,0.2734149098396301,1.1998347043991089
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908821702003479,1.3944668769836426,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3672276735305786,0.3109441101551056,1.205527901649475
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233843207359314,-0.8679298758506775,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7758374810218811,0.4445516765117645,0.7528173327445984
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.18931245803833,-0.8679298758506775,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6306681632995605,0.33082666993141174,0.7224476933479309
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552406549453735,-0.8679298758506775,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642409563064575,0.8139623403549194,0.6532803177833557
