element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0507597923278809,0.5226442813873291
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.22153088450431824,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243974208831787,0.31188488006591797
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2609179019927979,0.3128231465816498
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3548294305801392,0.2887524962425232
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.7480681538581848,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3946210145950317,0.3460300862789154
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4078983068466187,0.2734149396419525
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3672276735305786,0.310944139957428
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7758375406265259,0.4445516765117645
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6306681632995605,0.33082666993141174
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642409563064575,0.8139623403549194
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9274845719337463,0.7364671230316162
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0637617111206055,0.3350110948085785
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0415817499160767,0.6347873210906982
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1963402032852173,0.5454860925674438
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2578717470169067,0.5910522937774658
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6039602756500244,1.1524347066879272
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.24294616281986237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033743977546692,1.1418019533157349
