epoch,train_loss,train_mae,val_mae,val_half_rel_pct,val_worst_rel_pct,val_worst_node_idx,val_worst_pred_raw_fs,val_worst_true_raw_fs,val_last_lt10_sorted_idx
1,0.90898621,0.63792151,0.66097778,36.27883148,90.86544800,575,1.39205444,15.23943424,15
2,0.70131290,0.47990409,0.48946840,29.15053749,87.78790283,575,1.86105490,15.23943424,24
3,0.56294155,0.45338210,0.46351945,35.72691727,108.29988861,5,2.73798871,1.31444561,16
4,0.51824945,0.50515324,0.50302303,46.54283524,151.77549744,5,3.30945206,1.31444561,7
5,0.52783138,0.55097079,0.53296834,57.27962112,177.09133911,5,3.64221478,1.31444561,9
6,0.57913160,0.56508994,0.54427004,59.61731720,184.41926575,5,3.73853636,1.31444561,11
7,0.57186407,0.54753858,0.53076380,57.97459030,185.92684937,187,4.14055586,1.44811714,9
8,0.53712410,0.50910324,0.50022960,51.45450974,176.60975647,187,4.00563335,1.44811714,9
9,0.51234776,0.46114689,0.46144831,43.07168198,160.08743286,187,3.76637053,1.44811714,14
10,0.51517677,0.41609657,0.42488366,35.19991302,140.87461853,187,3.48814678,1.44811714,19
11,0.45746127,0.38255030,0.40159681,31.39229774,121.07168579,187,3.20137691,1.44811714,19
12,0.43279669,0.36830086,0.39865553,23.92971420,103.97029114,187,2.95372868,1.44811714,27
13,0.42604452,0.36969578,0.40998605,23.62910271,89.93823242,187,2.75052810,1.44811714,27
14,0.42763707,0.37849468,0.42783299,24.86815071,85.29843140,575,2.24043584,15.23943424,24
15,0.43835708,0.38385007,0.43677312,25.99618530,85.59327698,575,2.19550300,15.23943424,23
16,0.44834372,0.38198391,0.43537813,26.50655174,85.56619263,575,2.19963050,15.23943424,22
17,0.44634625,0.37225953,0.42329836,25.69711304,85.21089172,575,2.25377512,15.23943424,26
18,0.44574922,0.35830176,0.40482029,24.10152626,84.59320068,575,2.34790850,15.23943424,32
19,0.41556004,0.34625965,0.38565126,22.26269531,86.06503296,187,2.69443965,1.44811714,30
20,0.42399651,0.33871284,0.37260586,20.58893776,96.06948853,475,6.38437414,3.25617933,29
21,0.39784428,0.33892736,0.36757419,22.04413605,106.92132568,475,6.73772955,3.25617933,24
22,0.40354583,0.34316903,0.36657536,24.82334709,116.44375610,475,7.04779673,3.25617933,25
23,0.40392625,0.34885016,0.36718512,25.44028854,123.85080719,475,7.28898382,3.25617933,21
24,0.39101601,0.35252100,0.36701319,26.88986015,128.24078369,475,7.43192911,3.25617933,21
25,0.40020490,0.35195121,0.36505497,27.14823532,129.90731812,475,7.48619461,3.25617933,21
26,0.39907977,0.34808913,0.36174187,26.17257309,129.55940247,475,7.47486591,3.25617933,20
27,0.40124375,0.34125134,0.35709032,23.72786713,126.73450470,475,7.38288212,3.25617933,22
28,0.40938935,0.33322296,0.35225305,20.86818886,121.46769714,475,7.21138525,3.25617933,24
29,0.38121057,0.32760748,0.34937084,22.03312111,115.92221069,475,7.03081465,3.25617933,27
30,0.37424517,0.32391182,0.34843373,20.20902252,109.27458191,475,6.81435537,3.25617933,23
31,0.37922046,0.32282329,0.34892422,20.99769592,102.35495758,475,6.58904028,3.25617933,31
32,0.36699235,0.32329533,0.35159054,21.02365303,96.65811920,475,6.40354109,3.25617933,32
33,0.36980253,0.32350260,0.35327423,21.19179153,91.57113647,475,6.23789978,3.25617933,34
34,0.38398987,0.32232383,0.35186076,22.06332016,87.84726715,475,6.11664391,3.25617933,34
