epoch,train_mse_ys,train_mse_fs,train_mae_ys,val_mae_ys,train_mae_fs,val_mae_fs,val_score
1,0.90733254,1.63910770,0.66952252,0.70748729,0.99010414,1.04916298,1.75665027
2,0.57393867,1.29674292,0.53245199,0.56762522,0.84317613,0.89643919,1.46406442
3,0.43899480,1.04276431,0.44335777,0.48249650,0.74879551,0.79452348,1.27701998
4,0.34125713,0.92242819,0.39332137,0.43507278,0.68378472,0.72680378,1.16187656
5,0.27239579,0.81210601,0.37029046,0.40679187,0.62466925,0.66536087,1.07215273
6,0.23049247,0.72502130,0.36003932,0.38892874,0.56838429,0.60730761,0.99623635
7,0.22785628,0.64184111,0.35798642,0.38044822,0.52000678,0.55735588,0.93780410
8,0.21401864,0.59118176,0.36067241,0.37734646,0.48392758,0.52029216,0.89763862
9,0.19785729,0.51317424,0.36372578,0.37408832,0.45684764,0.48995087,0.86403918
10,0.19592698,0.48146677,0.36075234,0.36698166,0.43547940,0.46369669,0.83067834
11,0.20057462,0.43304217,0.34357065,0.35488918,0.42120716,0.44872847,0.80361766
12,0.20310161,0.37470725,0.33394656,0.35298723,0.41511142,0.44380832,0.79679555
13,0.21771903,0.37494799,0.33225819,0.35292506,0.41584340,0.44468737,0.79761243
14,0.19450153,0.36790627,0.33020297,0.35351932,0.42107153,0.44865885,0.80217817
15,0.18963668,0.33728626,0.32185093,0.34295356,0.42763650,0.45281062,0.79576418
16,0.19441813,0.37248662,0.32058659,0.33360818,0.42997780,0.45356709,0.78717527
17,0.20235527,0.36365321,0.33984393,0.33777988,0.42919314,0.45230934,0.79008922
18,0.20349555,0.36228666,0.34872514,0.33916119,0.42386195,0.44754595,0.78670713
19,0.16694817,0.36690289,0.34460023,0.33340204,0.41441017,0.43987939,0.77328143
20,0.17946081,0.36798543,0.32818639,0.32150796,0.40905014,0.43649298,0.75800094
21,0.18894814,0.34422970,0.30741557,0.30884522,0.40386355,0.43400589,0.74285111
22,0.16723275,0.33570346,0.28690714,0.29902902,0.40035155,0.43293232,0.73196134
23,0.16333146,0.32887819,0.27500552,0.29083830,0.39816287,0.43276390,0.72360221
24,0.14478402,0.32740325,0.26345688,0.27697447,0.39816445,0.43266699,0.70964146
25,0.16316622,0.33722475,0.25545949,0.25903451,0.40055990,0.43272257,0.69175708
26,0.13439485,0.31196758,0.26634169,0.25397587,0.40382379,0.43419632,0.68817219
27,0.12131365,0.33110589,0.30536342,0.27618366,0.40713349,0.43568888,0.71187255
28,0.12266500,0.31311575,0.31217739,0.28013498,0.40910763,0.43657216,0.71670714
29,0.13374221,0.31615338,0.25833529,0.23321600,0.40690765,0.43510604,0.66832204
30,0.11747555,0.31142429,0.20927647,0.18212441,0.40271491,0.43268207,0.61480647
31,0.19473575,0.32217351,0.23743437,0.21362720,0.39669931,0.43028739,0.64391460
32,0.11702130,0.31317174,0.27530405,0.25277159,0.39189515,0.42937025,0.68214184
33,0.10601764,0.31477213,0.29199266,0.27114853,0.38778859,0.42886436,0.70001289
34,0.11382794,0.32081398,0.30399656,0.28709161,0.38611412,0.42803454,0.71512616
35,0.11556606,0.30476859,0.28971487,0.27977091,0.38452187,0.42700717,0.70677808
36,0.11873561,0.31557909,0.25405133,0.25014356,0.38334531,0.42567676,0.67582032
37,0.09702601,0.30410656,0.22718136,0.22200827,0.38273439,0.42384225,0.64585052
38,0.12211327,0.29964471,0.21875273,0.20957211,0.38246882,0.42192420,0.63149631
39,0.10876698,0.29615280,0.21778247,0.20001392,0.38190037,0.41981369,0.61982761
40,0.11413102,0.28359997,0.21895221,0.20028502,0.38187772,0.41765219,0.61793721
41,0.12105520,0.30795193,0.21096484,0.18940315,0.37906143,0.41456309,0.60396624
42,0.10712913,0.30310178,0.20614621,0.18493797,0.37423378,0.41100055,0.59593852
43,0.10365405,0.30360276,0.21787056,0.20267151,0.37002906,0.40735927,0.61003079
44,0.11131914,0.29696381,0.23130248,0.21344779,0.36607277,0.40344161,0.61688940
45,0.10537941,0.28717154,0.22344717,0.20026979,0.36261365,0.39912882,0.59939861
46,0.09420450,0.27784106,0.20700467,0.17758963,0.35963047,0.39404374,0.57163337
47,0.09385137,0.27159953,0.19460648,0.15742499,0.35633463,0.38858941,0.54601440
48,0.08664163,0.28038374,0.18956718,0.15077417,0.35349861,0.38154835,0.53232251
49,0.10379326,0.26771468,0.18953151,0.15160036,0.35084215,0.37367317,0.52527353
50,0.09760080,0.26200178,0.18945052,0.15246245,0.34655049,0.36782891,0.52029136
51,0.11247024,0.27393207,0.18796153,0.14972040,0.34203249,0.36824316,0.51796356
52,0.10586755,0.26669043,0.18927525,0.15047954,0.33991745,0.36495930,0.51543884
53,0.09497923,0.25502777,0.19145641,0.15474857,0.33705586,0.35858041,0.51332898
54,0.09087247,0.26944569,0.19098426,0.15471299,0.33318615,0.34685698,0.50156997
55,0.08956745,0.25921983,0.19002272,0.15423419,0.33114415,0.33641192,0.49064611
56,0.09318338,0.25531858,0.18742076,0.15139878,0.32965428,0.33107176,0.48247054
57,0.10067681,0.24823719,0.18582664,0.15040015,0.32957166,0.33095303,0.48135318
58,0.09629256,0.24593022,0.18549770,0.15131368,0.33279398,0.33554998,0.48686366
59,0.09460889,0.24490269,0.18597311,0.15364198,0.33121613,0.32577258,0.47941457
60,0.08980877,0.24518268,0.18825009,0.15712038,0.33141196,0.31550378,0.47262415
61,0.10031748,0.23406588,0.18747404,0.15561512,0.33315250,0.31410104,0.46971616
62,0.09420934,0.24602652,0.18575363,0.15252081,0.33785576,0.32944813,0.48196894
63,0.09262224,0.23970088,0.18470669,0.14987773,0.34367833,0.34430826,0.49418598
64,0.09101491,0.23064809,0.18393859,0.14718390,0.33915937,0.33545023,0.48263413
65,0.08691692,0.22985668,0.18377924,0.14544380,0.33225077,0.31882802,0.46427181
66,0.08684961,0.21763062,0.18359475,0.14425977,0.33478943,0.31075925,0.45501901
67,0.09636447,0.24032661,0.18360636,0.14398167,0.33363968,0.31196281,0.45594448
68,0.08785888,0.24859352,0.18370147,0.14505295,0.32638189,0.31870762,0.46376057
69,0.09144592,0.23068301,0.18451184,0.14795864,0.32667556,0.32948703,0.47744566
70,0.08625864,0.23783378,0.18548617,0.15127061,0.32957909,0.34034020,0.49161081
