epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
1,0.81190407,1.63910747,0.66655558,0.69520009,0.99010414,1.04916286,1.74436295
2,0.47776556,1.29674292,0.51993138,0.55003011,0.84317601,0.89643914,1.44646925
3,0.33774385,1.04276431,0.40404257,0.43367276,0.74879551,0.79452330,1.22819605
4,0.23879862,0.92242813,0.32887271,0.35676256,0.68378466,0.72680366,1.08356622
5,0.17843643,0.81210595,0.28523809,0.30965915,0.62466919,0.66536087,0.97502002
6,0.13505960,0.72502118,0.25676632,0.27745244,0.56838429,0.60730755,0.88475999
7,0.12340836,0.64184105,0.23861642,0.25378889,0.52000672,0.55735588,0.81114477
8,0.11236960,0.59118170,0.22948974,0.23711620,0.48392758,0.52029216,0.75740837
9,0.10861176,0.51317412,0.22882131,0.22856928,0.45684758,0.48995081,0.71852009
10,0.11854954,0.48146671,0.23036984,0.22462112,0.43547934,0.46369666,0.68831778
11,0.12928823,0.43304214,0.22448035,0.21946965,0.42120716,0.44872847,0.66819812
12,0.11911209,0.37470719,0.21558024,0.21812823,0.41511139,0.44380829,0.66193652
13,0.11455788,0.37494794,0.22508036,0.23785162,0.41584337,0.44468743,0.68253905
14,0.11007052,0.36790624,0.25475758,0.27438784,0.42107150,0.44865882,0.72304666
15,0.11871995,0.33728626,0.25724503,0.27716145,0.42763650,0.45281056,0.72997200
16,0.12934372,0.37248662,0.23989262,0.25764018,0.42997774,0.45356709,0.71120727
17,0.11742651,0.36365321,0.22319970,0.23463680,0.42919308,0.45230925,0.68694605
18,0.10751304,0.36228663,0.21641278,0.22287758,0.42386192,0.44754586,0.67042343
19,0.09813581,0.36690283,0.21551597,0.21757443,0.41441014,0.43987939,0.65745382
20,0.11082687,0.36798543,0.21641496,0.21502194,0.40905011,0.43649298,0.65151492
21,0.10707283,0.34422970,0.21602410,0.21417554,0.40386352,0.43400589,0.64818142
22,0.11610459,0.33570346,0.21401195,0.21490803,0.40035155,0.43293232,0.64784035
23,0.11150670,0.32887816,0.21329220,0.21807143,0.39816287,0.43276390,0.65083534
24,0.09909679,0.32740319,0.21653275,0.22490276,0.39816448,0.43266699,0.65756975
25,0.09935816,0.33722469,0.22262062,0.23330970,0.40055987,0.43272257,0.66603227
26,0.09552602,0.31196752,0.22751626,0.23906131,0.40382373,0.43419638,0.67325769
27,0.09874465,0.33110589,0.22803192,0.23957145,0.40713349,0.43568888,0.67526034
28,0.09201709,0.31311575,0.22447404,0.23507951,0.40910763,0.43657216,0.67165168
29,0.09082071,0.31615335,0.21999221,0.22957399,0.40690765,0.43510604,0.66468003
30,0.09374924,0.31142429,0.21422771,0.22222613,0.40271488,0.43268207,0.65490820
31,0.10797652,0.32217345,0.20866005,0.21453567,0.39669931,0.43028739,0.64482306
32,0.08937465,0.31317168,0.20560372,0.20953637,0.39189515,0.42937025,0.63890663
