epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
1,0.82438290,1.66850305,0.67238134,0.99861461,1.67099595
2,0.48565012,1.31954777,0.52624571,0.85024369,1.37648940
3,0.34304956,1.06262851,0.40957627,0.75585866,1.16543493
4,0.24293514,0.94279307,0.33367547,0.69104117,1.02471665
5,0.18260673,0.82949680,0.28926083,0.63144892,0.92070976
6,0.14011981,0.73630613,0.26019660,0.57461023,0.83480683
7,0.12493185,0.65702933,0.24107796,0.52592397,0.76700193
8,0.11125160,0.59788495,0.23068415,0.48970002,0.72038417
9,0.11035759,0.52037847,0.22895236,0.46201411,0.69096647
10,0.11570622,0.49506885,0.22995351,0.43977579,0.66972931
11,0.13099442,0.44691133,0.22404778,0.42568314,0.64973092
12,0.12049919,0.38564846,0.21614242,0.41997096,0.63611338
13,0.11164780,0.38327047,0.22675137,0.42080340,0.64755477
14,0.11012619,0.38112012,0.25682569,0.42621168,0.68303737
15,0.12117802,0.34928247,0.25833353,0.43281212,0.69114566
16,0.12752213,0.37293294,0.24050409,0.43578187,0.67628595
17,0.11550777,0.37324041,0.22300227,0.43681335,0.65981562
18,0.10749476,0.36874098,0.21597199,0.43364528,0.64961727
19,0.09743137,0.37263960,0.21553527,0.42460743,0.64014269
20,0.11249059,0.37731484,0.21652938,0.41953829,0.63606767
21,0.11079356,0.34611222,0.21561718,0.41361898,0.62923616
22,0.11636196,0.34292829,0.21288964,0.40871465,0.62160429
23,0.10923690,0.33649978,0.21254367,0.40553436,0.61807802
24,0.09783574,0.33303204,0.21731368,0.40508240,0.62239608
25,0.09843331,0.34345022,0.22447336,0.40684271,0.63131607
26,0.09685370,0.31764579,0.22894676,0.40996388,0.63891064
27,0.10180264,0.33769450,0.22767569,0.41365838,0.64133407
28,0.09285352,0.32042253,0.22189425,0.41654715,0.63844140
29,0.09026679,0.32304293,0.21552074,0.41553801,0.63105875
30,0.09217872,0.32108825,0.20856595,0.41192555,0.62049150
31,0.10594661,0.32867184,0.20301199,0.40618125,0.60919324
32,0.08438601,0.31369078,0.20041826,0.40134802,0.60176629
33,0.09066603,0.32153007,0.19958012,0.39728111,0.59686123
34,0.08468141,0.32234207,0.19924489,0.39544255,0.59468743
35,0.09008137,0.30855533,0.19790459,0.39356762,0.59147221
36,0.08604357,0.32061470,0.19560719,0.39214912,0.58775631
37,0.07952999,0.31268585,0.19340505,0.39131615,0.58472119
38,0.09335586,0.29962504,0.19233060,0.39069739,0.58302799
39,0.08316581,0.30420083,0.19242081,0.38937217,0.58179298
40,0.08168798,0.28885189,0.19209100,0.38852727,0.58061828
41,0.08447800,0.30871740,0.18968923,0.38509282,0.57478206
42,0.07942361,0.30458692,0.18631156,0.38007522,0.56638677
43,0.07292688,0.31349561,0.18362953,0.37569717,0.55932669
44,0.08580616,0.30584437,0.18228005,0.37141094,0.55369098
45,0.07959470,0.29193112,0.18176885,0.36690399,0.54867284
46,0.07355864,0.28516197,0.17964749,0.36266190,0.54230939
47,0.07621044,0.27222422,0.17709796,0.35791335,0.53501131
48,0.07610269,0.28560543,0.17472437,0.35356459,0.52828896
49,0.08086713,0.27158391,0.17461398,0.34984836,0.52446234
50,0.07929629,0.26590779,0.17327733,0.34477922,0.51805656
51,0.08256743,0.27786866,0.17148191,0.34133998,0.51282188
52,0.08226683,0.27039781,0.17316161,0.33894870,0.51211031
53,0.07190585,0.25586265,0.17346841,0.33558008,0.50904849
54,0.07630170,0.26888928,0.17080584,0.33110446,0.50191030
55,0.06941128,0.25666025,0.16955486,0.32913652,0.49869138
56,0.07191326,0.25160629,0.16803457,0.32849759,0.49653216
57,0.07681081,0.24985141,0.16719422,0.33285117,0.50004539
58,0.07407937,0.24965686,0.16685125,0.34274730,0.50959855
59,0.07721175,0.24695355,0.16730514,0.33820298,0.50550812
60,0.07417341,0.24686094,0.16731480,0.33460093,0.50191572
61,0.07461625,0.24436870,0.16753814,0.33471465,0.50225279
62,0.07534120,0.25333732,0.16777718,0.33704600,0.50482318
63,0.07316265,0.23706247,0.16787139,0.34214115,0.51001254
64,0.07244462,0.23401091,0.16820820,0.33932224,0.50753044
65,0.06952649,0.23092176,0.16863652,0.33148840,0.50012492
66,0.06943911,0.22435434,0.16911609,0.33014148,0.49925758
67,0.07521461,0.23909573,0.16988124,0.33311623,0.50299747
68,0.07263200,0.24357514,0.17018610,0.32939872,0.49958482
69,0.06884048,0.23771109,0.17100143,0.32695651,0.49795794
70,0.06681544,0.23742564,0.17211884,0.32685181,0.49897066
71,0.07094017,0.24645509,0.17360841,0.32754451,0.50115292
72,0.06842390,0.22584926,0.17471467,0.32732534,0.50204001
73,0.07113021,0.24693458,0.17551136,0.32583842,0.50134978
74,0.06864186,0.23053084,0.17661740,0.32659250,0.50320990
75,0.06985213,0.23163708,0.17724274,0.32776254,0.50500529
76,0.06948324,0.22461392,0.17727317,0.32823625,0.50550942
77,0.07742795,0.22702760,0.17753927,0.32615480,0.50369407
78,0.06597238,0.21911019,0.17772287,0.32449907,0.50222194
79,0.07026068,0.21066502,0.17840813,0.32360619,0.50201432
80,0.06815585,0.22973073,0.17957358,0.32322240,0.50279598
81,0.07070736,0.22352320,0.17831032,0.32281467,0.50112499
82,0.06911013,0.21527742,0.17562321,0.32225898,0.49788219
83,0.06597640,0.22065996,0.17155783,0.32209212,0.49364994
84,0.06761357,0.22205672,0.16785584,0.32302266,0.49087851
85,0.07068253,0.22829084,0.16555244,0.32249093,0.48804337
86,0.06937531,0.23182438,0.16408695,0.32157364,0.48566060
87,0.06827699,0.21682583,0.16348812,0.32075384,0.48424196
88,0.06868547,0.21113177,0.16352655,0.32104087,0.48456742
89,0.06901575,0.21588977,0.16524321,0.32034051,0.48558372
90,0.07022520,0.21995388,0.16781707,0.31866390,0.48648097
91,0.07143262,0.22524479,0.17140473,0.31979325,0.49119799
92,0.06788355,0.21481545,0.17310943,0.31867570,0.49178512
93,0.06720378,0.21142401,0.17242178,0.31598970,0.48841149
94,0.06710849,0.20752691,0.17171218,0.31814721,0.48985939
95,0.06616741,0.20558348,0.17157443,0.32033116,0.49190558
96,0.06311809,0.21145223,0.17111504,0.31942540,0.49054044
97,0.06253108,0.20986380,0.17047943,0.31734183,0.48782127
98,0.06257746,0.20679030,0.16967709,0.31647024,0.48614733
99,0.06439376,0.21684712,0.16936551,0.31672099,0.48608650
100,0.06364891,0.21605763,0.16909817,0.31738308,0.48648125
101,0.06357199,0.21888131,0.16911814,0.31519592,0.48431405
102,0.06350005,0.20988777,0.16772731,0.31297275,0.48070006
103,0.06396922,0.21247131,0.16641922,0.31127879,0.47769801
104,0.06376332,0.21180028,0.16535553,0.31022114,0.47557667
105,0.06554954,0.19855674,0.16488387,0.30991903,0.47480290
106,0.06634545,0.20645505,0.16476680,0.31030831,0.47507511
107,0.06396176,0.21607095,0.16493309,0.31006244,0.47499552
108,0.06244275,0.22172111,0.16570175,0.30936855,0.47507030
109,0.06335630,0.21030055,0.16667140,0.31373125,0.48040265
110,0.05877230,0.21189259,0.16636951,0.31647092,0.48284043
111,0.06419151,0.20516276,0.16612436,0.31592458,0.48204894
112,0.06656557,0.21689177,0.16554463,0.31274512,0.47828975
113,0.06520063,0.21174970,0.16619529,0.31575277,0.48194806
