epoch,train_mse_ys,train_mse_fs,train_mae_ys,val_mae_ys,train_mae_fs,val_mae_fs,val_score
1,0.90733254,1.63910770,0.66952252,0.70748729,0.99010414,1.04916298,1.75665027
2,0.57393867,1.29674292,0.53245193,0.56762522,0.84317613,0.89643919,1.46406442
3,0.43899480,1.04276431,0.44335780,0.48249653,0.74879551,0.79452348,1.27702001
4,0.34125713,0.92242819,0.39332139,0.43507278,0.68378472,0.72680378,1.16187656
5,0.27239582,0.81210607,0.37029043,0.40679187,0.62466919,0.66536087,1.07215273
6,0.23049249,0.72502130,0.36003932,0.38892874,0.56838429,0.60730755,0.99623629
7,0.22785628,0.64184111,0.35798642,0.38044822,0.52000678,0.55735588,0.93780410
8,0.21401864,0.59118176,0.36067241,0.37734652,0.48392758,0.52029222,0.89763874
9,0.19785729,0.51317424,0.36372578,0.37408832,0.45684764,0.48995087,0.86403918
10,0.19592696,0.48146677,0.36075234,0.36698166,0.43547940,0.46369666,0.83067831
11,0.20057462,0.43304217,0.34357065,0.35488921,0.42120716,0.44872847,0.80361769
12,0.20310161,0.37470725,0.33394659,0.35298723,0.41511142,0.44380829,0.79679552
13,0.21771899,0.37494799,0.33225816,0.35292497,0.41584340,0.44468743,0.79761240
14,0.19450153,0.36790627,0.33020297,0.35351932,0.42107153,0.44865885,0.80217817
15,0.18963668,0.33728629,0.32185093,0.34295359,0.42763650,0.45281056,0.79576415
16,0.19441813,0.37248662,0.32058659,0.33360824,0.42997780,0.45356712,0.78717536
17,0.20235528,0.36365321,0.33984393,0.33777985,0.42919314,0.45230928,0.79008913
18,0.20349555,0.36228666,0.34872514,0.33916119,0.42386195,0.44754595,0.78670713
19,0.16694820,0.36690286,0.34460023,0.33340204,0.41441017,0.43987939,0.77328143
20,0.17946081,0.36798543,0.32818639,0.32150796,0.40905014,0.43649298,0.75800094
21,0.18894815,0.34422970,0.30741557,0.30884522,0.40386352,0.43400589,0.74285111
22,0.16723277,0.33570346,0.28690717,0.29902905,0.40035155,0.43293232,0.73196137
23,0.16333145,0.32887819,0.27500552,0.29083830,0.39816287,0.43276390,0.72360221
24,0.14478403,0.32740325,0.26345688,0.27697447,0.39816448,0.43266705,0.70964152
25,0.16316622,0.33722475,0.25545952,0.25903454,0.40055987,0.43272257,0.69175711
26,0.13439485,0.31196758,0.26634169,0.25397584,0.40382376,0.43419635,0.68817219
27,0.12131365,0.33110589,0.30536348,0.27618372,0.40713349,0.43568888,0.71187261
28,0.12266499,0.31311575,0.31217751,0.28013504,0.40910763,0.43657216,0.71670720
29,0.13374221,0.31615335,0.25833541,0.23321608,0.40690765,0.43510604,0.66832212
30,0.11747556,0.31142431,0.20927653,0.18212451,0.40271491,0.43268207,0.61480658
31,0.19473578,0.32217348,0.23743445,0.21362729,0.39669931,0.43028739,0.64391468
32,0.11702130,0.31317171,0.27530405,0.25277159,0.39189515,0.42937022,0.68214181
33,0.10601763,0.31477213,0.29199266,0.27114847,0.38778859,0.42886430,0.70001277
34,0.11382794,0.32081398,0.30399650,0.28709155,0.38611412,0.42803454,0.71512610
35,0.11556603,0.30476859,0.28971481,0.27977082,0.38452187,0.42700720,0.70677802
36,0.11873555,0.31557909,0.25405136,0.25014356,0.38334531,0.42567676,0.67582032
37,0.09702602,0.30410656,0.22718142,0.22200832,0.38273439,0.42384225,0.64585057
38,0.12211328,0.29964471,0.21875276,0.20957218,0.38246882,0.42192420,0.63149638
39,0.10876701,0.29615280,0.21778238,0.20001383,0.38190037,0.41981366,0.61982749
40,0.11413099,0.28359997,0.21895215,0.20028496,0.38187772,0.41765216,0.61793712
41,0.12105516,0.30795193,0.21096483,0.18940318,0.37906143,0.41456309,0.60396627
42,0.10712912,0.30310175,0.20614628,0.18493815,0.37423372,0.41100055,0.59593870
43,0.10365406,0.30360276,0.21787068,0.20267171,0.37002903,0.40735927,0.61003098
44,0.11131917,0.29696381,0.23130250,0.21344787,0.36607277,0.40344167,0.61688954
45,0.10537941,0.28717154,0.22344726,0.20026994,0.36261365,0.39912882,0.59939876
46,0.09420450,0.27784100,0.20700470,0.17758971,0.35963044,0.39404371,0.57163343
47,0.09385137,0.27159944,0.19460650,0.15742506,0.35633463,0.38858938,0.54601444
48,0.08664163,0.28038374,0.18956718,0.15077421,0.35349858,0.38154832,0.53232253
49,0.10379325,0.26771462,0.18953151,0.15160041,0.35084215,0.37367317,0.52527358
50,0.09760080,0.26200178,0.18945052,0.15246250,0.34655049,0.36782882,0.52029131
51,0.11247025,0.27393201,0.18796152,0.14972042,0.34203249,0.36824316,0.51796357
52,0.10586755,0.26669043,0.18927526,0.15047954,0.33991751,0.36495930,0.51543884
53,0.09497923,0.25502777,0.19145642,0.15474857,0.33705586,0.35858038,0.51332895
54,0.09087249,0.26944566,0.19098425,0.15471298,0.33318615,0.34685698,0.50156996
55,0.08956745,0.25921983,0.19002272,0.15423417,0.33114415,0.33641186,0.49064603
56,0.09318338,0.25531858,0.18742074,0.15139872,0.32965428,0.33107176,0.48247048
