tem,sr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,ID,imgf,UTS
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1014.805,0.14697,1-1,0.65054 ,1369.012
25,1000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1201.408,0.08770348,1-1,0.65054 ,1552.339688
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1217.772,0.08796732,1-1,0.65054 ,1547.171923
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1308.47,0.08119854,1-1,0.65054 ,1568.574986
25,2500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1346.9,0.09730527,1-1,0.65054 ,1612.882019
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1359.723,0.07688555,1-1,0.65054 ,1550.179191
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1320.444,0.08743894,1-1,0.65054 ,1557.534968
350,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,749.29,0.12501,1-1,0.65054 ,972.6355036
450,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,609.088,0.09303,1-1,0.65054 ,933.3980912
550,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,641.512,0.22889,1-1,0.65054 ,844.034269
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,895.747974,0.207097973,1-2,0.46637 ,1326.343426
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1027.362,0.09420668,1-2,0.46637 ,1450.134883
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1005.941,0.17850515,1-2,0.46637 ,1421.102856
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1155.404,0.15339323,1-2,0.46637 ,1395.397271
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1214.83,0.16620665,1-2,0.46637 ,1420.151642
350,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,583.294,0.32407,1-2,0.46637 ,895.0184649
450,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,486.15,0.32108,1-2,0.46637 ,861.590835
550,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,539.098,0.64328,1-2,0.46637 ,732.6290088
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,816.258752,0.302416763,1-3,0.72069 ,1171.356749
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1047.098,0.11417498,1-3,0.72069 ,1296.721321
25,2500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1069.224,0.17859633,1-3,0.72069 ,1322.386776
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1064.848,0.13181578,1-3,0.72069 ,1268.921658
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1106.049,0.20895525,1-3,0.72069 ,1383.595212
350,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,422.784,0.51194,1-3,0.72069 ,770.7734244
450,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,415.676,0.4648,1-3,0.72069 ,744.0742777
550,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,388.3,0.66313,1-3,0.72069 ,639.4253814
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,935.498142,0.22290608,1-4,0.04354 ,1366.575776
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,962.8904,0.09846543,1-4,0.04354 ,1474.096935
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1022.841,0.16386873,1-4,0.04354 ,1562.551445
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1157.346,0.1848665,1-4,0.04354 ,1566.989436
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1234.281,0.18206391,1-4,0.04354 ,1594.54298
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,580.288,0.27403,1-4,0.04354 ,1014.960958
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,583.146,0.22711,1-4,0.04354 ,1021.238728
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,554.812,0.35185,1-4,0.04354 ,847.5852513
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,878.05437,0.305208093,1-5,0.12887 ,1369.757235
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1106.397,0.08636941,1-5,0.12887 ,1498.017931
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1188.981,0.1610919,1-5,0.12887 ,1600.424328
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1217.52,0.22244476,1-5,0.12887 ,1620.740763
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1161.385,0.239503,1-5,0.12887 ,1639.319253
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,518.602,0.27385,1-5,0.12887 ,984.225775
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,494.66,0.305483636,1-5,0.12887 ,933.4393652
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,551.536,0.51964,1-5,0.12887 ,781.7161188
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,905.6396,0.296198232,1-6,0.02717 ,1373.433465
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,989.5025,0.101885687,1-6,0.02717 ,1488.678158
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1193.511,0.16604994,1-6,0.02717 ,1513.126096
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1149.382,0.21697745,1-6,0.02717 ,1544.399125
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1260.286,0.2685272,1-6,0.02717 ,1595.751843
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,482.3,0.32994,1-6,0.02717 ,919.3178885
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,449.286,0.34388,1-6,0.02717 ,877.7823978
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,424.71,0.64743,1-6,0.02717 ,741.4875492
25,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,910.983714,0.241332981,1-7,0.06414 ,1392.098809
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1094.433,0.09137458,1-7,0.06414 ,1498.404726
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1215.845,0.1643988,1-7,0.06414 ,1581.12577
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1253.824,0.225263221,1-7,0.06414 ,1631.921938
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1299.018,0.20658754,1-7,0.06414 ,1683.680888
350,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,459.938,0.27807,1-7,0.06414 ,948.0763796
450,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,446.33,0.30604,1-7,0.06414 ,963.0072525
