tem,fcr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,UTS,imgf,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1014.805,14.697,1369.012,0.65054,965.7821034,28.12046464,1291.993977,1.167228694
25,1000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1201.408,8.770348,1552.339688,0.65054,2130.189401,87.2606438,2325.920273,0.943016826
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1217.772,8.796732,1547.171923,0.65054,111.48,0.7729798,315.1366667,0.944321361
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1308.47,8.119854,1568.574986,0.65054,,,,0.90954822
25,2500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1346.9,9.730527,1612.882019,0.65054,,,,0.988136362
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1359.723,7.688555,1550.179191,0.65054,,,,
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1320.444,8.743894,1557.534968,0.65054,,,,
350,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,749.29,12.501,972.6355036,0.65054,,,,
450,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,609.088,9.303,933.3980912,0.65054,,,,
550,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,641.512,22.889,844.034269,0.65054,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,895.747974,20.7097973,1326.343426,0.46637,,,,
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1027.362,9.420668,1450.134883,0.46637,,,,
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1005.941,17.850515,1421.102856,0.46637,,,,
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1155.404,15.339323,1395.397271,0.46637,,,,
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1214.83,16.620665,1420.151642,0.46637,,,,
350,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,583.294,32.407,895.0184649,0.46637,,,,
450,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,486.15,32.108,861.590835,0.46637,,,,
550,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,539.098,64.328,732.6290088,0.46637,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,1020,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,816.258752,30.2416763,1171.356749,0.72069,,,,
